id,name,lat,lon
4848,西大井,35.598333,139.725
4814,西新宿五丁目,35.686389,139.687222
8914,落合南長崎,35.719722,139.686944
4227,新江古田,35.729444,139.673333
8247,豊島園〔大江戸線〕,35.73879,139.652326
9062,練馬春日町,35.748138,139.643444
9444,浅草（つくばエクスプレス）,35.710879,139.795816
9445,南千住〔つくばエクスプレス〕,35.730031,139.802393
9520,赤土小学校前,35.73964,139.77228
9521,足立小台,35.751433,139.773652
9522,扇大橋,35.760714,139.774075
9523,高野（東京都）,35.765156,139.773947
9524,江北,35.770696,139.773585
1277,蒲田,35.559233,139.719296
7988,舞浜,35.632888,139.886944
7933,浮間舟渡,35.787999,139.694583
1896,金町（東京都）,35.766305,139.873499
4837,西船橋,35.70425,139.961951
1556,吉祥寺,35.699954,139.582994
223,芦花公園,35.667222,139.611499
1735,京成金町,35.765388,139.873555
1749,京成八幡,35.720583,139.931528
9395,羽田空港国内線ターミナル（京急）,35.546441,139.78929
5644,大森海岸,35.584249,139.738389
1455,喜多見,35.633499,139.590777
7957,武蔵関,35.724416,139.579694
6666,東久留米,35.757222,139.536944
8246,豊島園〔西武線〕,35.738779,139.651178
8189,方南町,35.680278,139.660917
8266,北綾瀬,35.77375,139.835305
5070,赤羽岩淵,35.780221,139.724333
9397,羽田空港第２ビル（モノレール）,35.547608,139.791547
2605,高津（神奈川県）,35.600027,139.620472
2117,元住吉,35.561389,139.657444
4773,西高島平,35.788777,139.64911
8497,本八幡〔新宿線〕,35.719041,139.929443
5358,早稲田〔都電荒川線〕,35.708481,139.722608
5403,草加,35.825027,139.806777
5622,大師前,35.775805,139.784916
6166,朝霞,35.793333,139.603416
4637,成田空港（成田第１ターミナル）,35.762749,140.389606
2321,光が丘,35.755278,139.631667
9525,西新井大師西,35.778264,139.773336
1513,鬼子母神前,35.720207,139.714876
